lineID,site,year,rep,phenoValue
1,STBN_2011_GOA,2011,1,266
21,STBN_2011_GOA,2011,1,998
6,STBN_2011_GOA,2011,2,322
1,STBN_2011_GOA,2011,2,487
9,STBN_2011_GOA,2011,3,639
23,STBN_2011_GOA,2011,1,1211
6,STBN_2011_GOA,2011,3,469
30,STBN_2011_GOA,2011,2,1140
1,STBN_2011_GOA,2011,3,245
30,STBN_2011_GOA,2011,3,1371
21,STBN_2011_GOA,2011,2,804
3,STBN_2011_GOA,2011,1,252
30,STBN_2011_GOA,2011,1,783
7,STBN_2011_GOA,2011,2,NA
23,STBN_2011_GOA,2011,2,868
7,STBN_2011_GOA,2011,3,NA
13,STBN_2011_GOA,2011,2,1562
3,STBN_2011_GOA,2011,2,249
12,STBN_2011_GOA,2011,1,1070
18,STBN_2011_GOA,2011,1,688
2,STBN_2011_GOA,2011,1,1312
7,STBN_2011_GOA,2011,1,NA
2,STBN_2011_GOA,2011,2,1562
12,STBN_2011_GOA,2011,2,1305
25,STBN_2011_GOA,2011,3,1839
17,STBN_2011_GOA,2011,3,1242
20,STBN_2011_GOA,2011,3,1693
16,STBN_2011_GOA,2011,2,1277
13,STBN_2011_GOA,2011,1,1594
17,STBN_2011_GOA,2011,2,1319
11,STBN_2011_GOA,2011,1,1041
2,STBN_2011_GOA,2011,3,1343
24,STBN_2011_GOA,2011,3,1653
8,STBN_2011_GOA,2011,1,935
8,STBN_2011_GOA,2011,2,839
24,STBN_2011_GOA,2011,2,1758
25,STBN_2011_GOA,2011,2,1548
15,STBN_2011_GOA,2011,1,1679
16,STBN_2011_GOA,2011,3,1609
6,STBN_2011_GOA,2011,1,242
4,STBN_2011_GOA,2011,2,296
17,STBN_2011_GOA,2011,1,1224
20,STBN_2011_GOA,2011,1,1398
5,STBN_2011_GOA,2011,1,NA
19,STBN_2011_GOA,2011,3,1926
19,STBN_2011_GOA,2011,1,1643
15,STBN_2011_GOA,2011,2,2051
22,STBN_2011_GOA,2011,3,1252
19,STBN_2011_GOA,2011,2,1914
9,STBN_2011_GOA,2011,1,558
15,STBN_2011_GOA,2011,3,1724
3,STBN_2011_GOA,2011,3,252
24,STBN_2011_GOA,2011,1,1476
20,STBN_2011_GOA,2011,2,1781
4,STBN_2011_GOA,2011,1,385
14,STBN_2011_GOA,2011,3,1105
11,STBN_2011_GOA,2011,2,1182
5,STBN_2011_GOA,2011,3,NA
5,STBN_2011_GOA,2011,2,NA
